M,X,class,const_cls,med_d,scl,scl_pool,logprior,thr,n
Ag,As,const,0,,,,,,10
Ag,Br,const,0,,,,,,226
Ag,C,Double,,2.1190,0.0118,0.1245,-2.3838,,13
Ag,C,Single,,2.2291,0.1388,0.1245,-0.0967,,128
Ag,C,thr,,,,0.1245,,-inf|-inf,141
Ag,Cl,const,0,,,,,,197
Ag,I,const,0,,,,,,104
Ag,N,const,0,,,,,,719
Ag,O,const,0,,,,,,166
Ag,P,const,0,,,,,,206
Ag,S,const,0,,,,,,140
Al,As,const,0,,,,,,39
Al,Br,const,0,,,,,,128
Al,C,Double,,2.1578,0.0407,0.0259,-5.4430,,7
Al,C,Single,,2.0162,0.0259,0.0259,-0.0043,,1611
Al,C,thr,,,,0.0259,,-inf|-inf,1618
Al,Cl,const,0,,,,,,588
Al,F,const,0,,,,,,92
Al,H,const,0,,,,,,277
Al,I,const,0,,,,,,117
Al,N,const,0,,,,,,1315
Al,O,const,0,,,,,,1298
Al,P,const,0,,,,,,81
Al,S,const,0,,,,,,68
Al,Se,const,0,,,,,,24
Al,Si,const,0,,,,,,30
Al,Te,const,0,,,,,,18
Au,As,const,0,,,,,,18
Au,Br,const,0,,,,,,28
Au,C,Double,,2.0116,0.0318,0.0394,-1.3345,,114
Au,C,Single,,2.0564,0.0431,0.0394,-0.3055,,319
Au,C,thr,,,,0.0394,,2.01636|1.91161,433
Au,Cl,const,0,,,,,,201
Au,I,const,0,,,,,,11
Au,N,const,0,,,,,,118
Au,O,const,0,,,,,,16
Au,P,const,0,,,,,,282
Au,S,const,0,,,,,,158
Au,Se,const,0,,,,,,14
Au,Te,const,0,,,,,,7
B,As,const,0,,,,,,18
B,Br,const,0,,,,,,202
B,C,Double,,1.4930,0.0463,0.0400,-2.8709,,150
B,C,Single,,1.6016,0.0399,0.0400,-0.0583,,2498
B,C,thr,,,,0.0400,,1.50533|-inf,2648
B,Cl,const,0,,,,,,206
B,F,const,0,,,,,,1055
B,H,const,0,,,,,,552
B,I,const,0,,,,,,48
B,N,Double,,1.3903,0.0422,0.0910,-2.6756,,98
B,N,Single,,1.4611,0.0959,0.0910,-0.0797,,1314
B,N,Triple,,1.2518,0.0072,0.0910,-4.8626,,11
B,N,thr,,,,0.0910,,1.36168|1.258,1423
B,O,const,0,,,,,,948
B,P,Double,,1.8177,0.0532,0.0556,-3.1321,,13
B,P,Single,,1.9512,0.0558,0.0556,-0.0446,,285
B,P,thr,,,,0.0556,,1.846|-inf,298
B,S,Double,,1.7027,0.0104,0.1007,-2.9857,,5
B,S,Single,,1.9111,0.1011,0.1007,-0.0518,,94
B,S,thr,,,,0.1007,,1.77646|-inf,99
B,Se,const,0,,,,,,62
B,Si,const,0,,,,,,8
B,Te,const,0,,,,,,10
Ce,Br,const,0,,,,,,37
Ce,C,const,0,,,,,,21
Ce,Cl,const,0,,,,,,88
Ce,F,const,0,,,,,,5
Ce,H,const,0,,,,,,19
Ce,I,const,0,,,,,,57
Ce,N,const,0,,,,,,572
Ce,O,const,0,,,,,,640
Ce,S,const,0,,,,,,34
Ce,Se,const,0,,,,,,8
Co,As,const,0,,,,,,55
Co,Br,const,0,,,,,,113
Co,C,Double,,1.8721,0.0356,0.0225,-4.3648,,30
Co,C,Single,,1.7945,0.0224,0.0225,-0.0128,,2329
Co,C,thr,,,,0.0225,,-inf|-inf,2359
Co,Cl,const,0,,,,,,583
Co,H,const,0,,,,,,69
Co,I,const,0,,,,,,126
Co,N,Double,,1.6664,0.0219,0.1345,-5.5443,,9
Co,N,Single,,1.9275,0.1347,0.1345,-0.0061,,2288
Co,N,Triple,,1.6357,0.0251,0.1345,-6.1321,,5
Co,N,thr,,,,0.1345,,-inf|-inf,2302
Co,O,const,0,,,,,,1906
Co,P,const,0,,,,,,722
Co,S,const,0,,,,,,466
Co,Se,const,0,,,,,,24
Co,Si,const,0,,,,,,23
Co,Te,const,0,,,,,,8
Cr,As,const,0,,,,,,48
Cr,Br,const,0,,,,,,36
Cr,C,Double,,2.0362,0.0507,0.0192,-2.6199,,248
Cr,C,Single,,1.8646,0.0178,0.0192,-0.0778,,3151
Cr,C,Triple,,1.7823,0.0050,0.0192,-6.1874,,7
Cr,C,thr,,,,0.0192,,1.77505|1.77505,3406
Cr,Cl,const,0,,,,,,445
Cr,F,const,0,,,,,,23
Cr,H,const,0,,,,,,53
Cr,I,const,0,,,,,,59
Cr,N,Double,,1.6561,0.0125,0.1181,-2.8276,,74
Cr,N,Single,,1.9856,0.1374,0.1181,-0.0885,,1145
Cr,N,Triple,,1.6283,0.0077,0.1181,-3.6660,,32
Cr,N,thr,,,,0.1181,,1.74735|1.64017,1251
Cr,O,Double,,1.5562,0.0050,0.1372,-1.2611,,289
Cr,O,Single,,1.9074,0.2527,0.1372,-0.3331,,731
Cr,O,thr,,,,0.1372,,1.61489|-inf,1020
Cr,P,const,0,,,,,,324
Cr,S,const,0,,,,,,205
Cr,Se,const,0,,,,,,41
Cr,Si,const,1,,,,,,8
Cr,Te,const,0,,,,,,15
Cu,As,const,0,,,,,,6
Cu,Br,const,0,,,,,,255
Cu,C,Double,,1.9278,0.0425,0.0476,-0.8093,,69
Cu,C,Single,,2.0080,0.0655,0.0476,-0.5891,,86
Cu,C,thr,,,,0.0476,,1.98173|1.85883,155
Cu,Cl,const,0,,,,,,899
Cu,F,const,0,,,,,,5
Cu,I,const,0,,,,,,613
Cu,N,const,0,,,,,,2323
Cu,O,const,0,,,,,,3029
Cu,P,const,0,,,,,,224
Cu,S,const,0,,,,,,220
Cu,Se,const,0,,,,,,7
Fe,As,const,0,,,,,,18
Fe,Br,const,0,,,,,,126
Fe,C,Double,,1.8893,0.0930,0.0195,-3.2788,,116
Fe,C,Single,,1.7688,0.0189,0.0195,-0.0394,,2960
Fe,C,thr,,,,0.0195,,1.67892|1.67892,3079
Fe,Cl,const,0,,,,,,501
Fe,F,const,0,,,,,,42
Fe,H,const,0,,,,,,120
Fe,I,const,0,,,,,,62
Fe,N,Double,,1.6382,0.0624,0.1028,-4.8508,,13
Fe,N,Single,,1.9254,0.1043,0.1028,-0.0115,,1643
Fe,N,Triple,,1.5905,0.0096,0.1028,-5.6240,,6
Fe,N,thr,,,,0.1028,,-inf|-inf,1662
Fe,O,const,0,,,,,,944
Fe,P,Double,,2.1011,0.0111,0.0314,-4.7020,,6
Fe,P,Single,,2.1715,0.0321,0.0314,-0.0091,,655
Fe,P,thr,,,,0.0314,,2.10264|-inf,661
Fe,S,const,0,,,,,,1514
Fe,Se,const,0,,,,,,95
Fe,Si,const,0,,,,,,52
Fe,Te,const,0,,,,,,41
Ga,As,const,0,,,,,,33
Ga,Br,const,0,,,,,,43
Ga,C,Double,,2.1282,0.0999,0.0179,-4.4659,,6
Ga,C,Single,,2.0463,0.0175,0.0179,-0.0116,,516
Ga,C,thr,,,,0.0179,,-inf|-inf,522
Ga,Cl,const,0,,,,,,541
Ga,F,const,0,,,,,,22
Ga,H,const,0,,,,,,43
Ga,I,const,0,,,,,,110
Ga,N,const,0,,,,,,426
Ga,O,const,0,,,,,,244
Ga,P,const,0,,,,,,83
Ga,S,const,0,,,,,,123
Ga,Se,const,0,,,,,,18
Ga,Te,const,0,,,,,,17
Hf,Br,const,0,,,,,,14
Hf,C,const,0,,,,,,128
Hf,Cl,const,0,,,,,,252
Hf,F,const,0,,,,,,65
Hf,I,const,0,,,,,,17
Hf,N,const,0,,,,,,314
Hf,O,const,0,,,,,,164
Hf,P,const,0,,,,,,42
Hf,S,const,0,,,,,,28
Hf,Si,const,0,,,,,,7
