M,X,class,const_cls,med_w,scl,logprior,n
Ag,As,const,0,,,,10
Ag,Br,const,0,,,,226
Ag,C,Double,,0.6647,0.0086,-2.3838,13
Ag,C,Single,,0.5373,0.1534,-0.0967,128
Ag,Cl,const,0,,,,197
Ag,I,const,0,,,,104
Ag,N,const,0,,,,719
Ag,O,const,0,,,,166
Ag,P,const,0,,,,206
Ag,S,const,0,,,,140
Al,As,const,0,,,,39
Al,Br,const,0,,,,128
Al,C,Double,,0.6154,0.0753,-5.4430,7
Al,C,Single,,0.9023,0.0683,-0.0043,1611
Al,Cl,const,0,,,,588
Al,F,const,0,,,,92
Al,H,const,0,,,,277
Al,I,const,0,,,,117
Al,N,const,0,,,,1315
Al,O,Single,,0.6965,0.1571,-0.0031,1294
Al,P,Single,,0.5597,0.1187,-0.0124,80
Al,S,Single,,0.8300,0.2343,-0.0299,66
Al,Se,const,0,,,,24
Al,Si,const,0,,,,30
Al,Te,const,0,,,,18
Au,As,const,0,,,,18
Au,Br,const,0,,,,28
Au,C,Double,,0.7261,0.0685,-1.3345,114
Au,C,Single,,0.6275,0.1241,-0.3055,319
Au,Cl,const,0,,,,201
Au,I,const,0,,,,11
Au,N,const,0,,,,118
Au,O,const,0,,,,16
Au,P,const,0,,,,282
Au,S,const,0,,,,158
Au,Se,const,0,,,,14
Au,Te,const,0,,,,7
B,As,const,0,,,,18
B,Br,const,0,,,,202
B,C,Double,,1.2889,0.2070,-2.8709,150
B,C,Single,,0.9434,0.0779,-0.0583,2498
B,Cl,const,0,,,,206
B,F,const,0,,,,1055
B,H,const,0,,,,552
B,I,const,0,,,,48
B,N,Double,,1.3487,0.2008,-2.6756,98
B,N,Single,,1.0361,0.3188,-0.0797,1314
B,N,Triple,,2.1017,0.0793,-4.8626,11
B,O,Single,,1.0828,0.1374,-0.0032,945
B,P,Double,,1.3376,0.2678,-3.1321,13
B,P,Single,,0.7854,0.0673,-0.0446,285
B,S,Double,,1.5462,0.1490,-2.9857,5
B,S,Single,,0.8665,0.2315,-0.0518,94
B,Se,Single,,0.8115,0.1500,-0.0328,60
B,Si,const,0,,,,8
B,Te,const,0,,,,10
Ce,Br,const,0,,,,37
Ce,C,const,0,,,,21
Ce,Cl,const,0,,,,88
Ce,F,const,0,,,,5
Ce,H,const,0,,,,19
Ce,I,const,0,,,,57
Ce,N,const,0,,,,572
Ce,O,const,0,,,,640
Ce,S,const,0,,,,34
Ce,Se,const,0,,,,8
Co,As,const,0,,,,55
Co,Br,const,0,,,,113
Co,C,Double,,0.9625,0.2155,-4.3648,30
Co,C,Single,,1.1038,0.0747,-0.0128,2329
Co,Cl,const,0,,,,583
Co,H,const,0,,,,69
Co,I,const,0,,,,126
Co,N,Double,,1.6992,0.0979,-5.5443,9
Co,N,Single,,0.5962,0.1770,-0.0061,2288
Co,N,Triple,,1.8264,0.2873,-6.1321,5
Co,O,const,0,,,,1906
Co,P,Single,,0.7652,0.0691,-0.0028,720
Co,S,Single,,0.6758,0.1156,-0.0021,465
Co,Se,const,0,,,,24
Co,Si,const,0,,,,23
Co,Te,const,0,,,,8
Cr,As,const,0,,,,48
Cr,Br,const,0,,,,36
Cr,C,Double,,0.7922,0.0655,-2.6199,248
Cr,C,Single,,0.9983,0.0635,-0.0778,3151
Cr,C,Triple,,1.5665,0.0050,-6.1874,7
Cr,Cl,const,0,,,,445
Cr,F,const,0,,,,23
Cr,H,const,0,,,,53
Cr,I,const,0,,,,59
Cr,N,Double,,1.9554,0.1734,-2.8276,74
Cr,N,Single,,0.6144,0.2166,-0.0885,1145
Cr,N,Triple,,2.8508,0.1197,-3.6660,32
Cr,O,Double,,2.1265,0.0291,-1.2611,289
Cr,O,Single,,0.6906,0.3861,-0.3331,731
Cr,P,Single,,0.6673,0.0921,-0.0062,322
Cr,S,Single,,0.5939,0.0876,-0.0098,203
Cr,Se,const,0,,,,41
Cr,Si,const,1,,,,8
Cr,Te,const,0,,,,15
Cu,As,const,0,,,,6
Cu,Br,const,0,,,,255
Cu,C,Double,,0.8438,0.0900,-0.8093,69
Cu,C,Single,,0.6814,0.1852,-0.5891,86
Cu,Cl,const,0,,,,899
Cu,F,const,0,,,,5
Cu,I,const,0,,,,613
Cu,N,Single,,0.3915,0.1070,-0.0009,2321
Cu,O,const,0,,,,3029
Cu,P,const,0,,,,224
Cu,S,const,0,,,,220
Cu,Se,const,0,,,,7
Fe,As,const,0,,,,18
Fe,Br,const,0,,,,126
Fe,C,Double,,0.8873,0.2219,-3.2788,116
Fe,C,Single,,1.0724,0.0609,-0.0394,2960
Fe,Cl,const,0,,,,501
Fe,F,const,0,,,,42
Fe,H,const,0,,,,120
Fe,I,const,0,,,,62
Fe,N,Double,,1.4505,0.3234,-4.8508,13
Fe,N,Single,,0.5609,0.1242,-0.0115,1643
Fe,N,Triple,,2.0118,0.0086,-5.6240,6
Fe,O,Single,,0.4703,0.1157,-0.0021,942
Fe,P,Double,,1.2841,0.1210,-4.7020,6
Fe,P,Single,,0.7332,0.0898,-0.0091,655
Fe,S,const,0,,,,1514
Fe,Se,const,0,,,,95
Fe,Si,const,0,,,,52
Fe,Te,const,0,,,,41
Ga,As,const,0,,,,33
Ga,Br,const,0,,,,43
Ga,C,Double,,0.6424,0.0417,-4.4659,6
Ga,C,Single,,0.8794,0.0435,-0.0116,516
Ga,Cl,const,0,,,,541
Ga,F,const,0,,,,22
Ga,H,const,0,,,,43
Ga,I,const,0,,,,110
Ga,N,const,0,,,,426
Ga,O,const,0,,,,244
Ga,P,const,0,,,,83
Ga,S,const,0,,,,123
Ga,Se,const,0,,,,18
Ga,Te,const,0,,,,17
Hf,Br,const,0,,,,14
Hf,C,Single,,0.6925,0.0789,-0.0157,126
Hf,Cl,const,0,,,,252
Hf,F,const,0,,,,65
Hf,I,const,0,,,,17
Hf,N,const,0,,,,314
Hf,O,const,0,,,,164
Hf,P,const,0,,,,42
Hf,S,const,0,,,,28
Hf,Si,const,0,,,,7
In,As,const,0,,,,27
In,Br,const,0,,,,171
In,C,const,0,,,,775
In,Cl,const,0,,,,415
In,F,const,0,,,,38
In,H,const,0,,,,16
In,I,const,0,,,,89
In,N,const,0,,,,747
In,O,const,0,,,,664
In,P,const,0,,,,131
In,S,const,0,,,,248
In,Se,Single,,0.5231,0.1599,-0.0155,64
In,Te,const,0,,,,10
Ir,Br,const,0,,,,27
Ir,C,Double,,1.0981,0.2990,-2.2347,99
Ir,C,Single,,0.9155,0.2685,-0.1144,825
Ir,Cl,const,0,,,,654
Ir,F,const,0,,,,7
Ir,H,const,0,,,,304
Ir,I,const,0,,,,150
Ir,N,Single,,0.6087,0.1443,-0.0154,645
Ir,N,Triple,,1.9616,0.0495,-4.6929,6
Ir,O,const,0,,,,221
Ir,P,Single,,0.8506,0.1081,-0.0028,701
Ir,S,const,0,,,,379
Ir,Se,const,0,,,,32
Ir,Si,const,0,,,,56
La,Cl,const,0,,,,67
La,H,const,0,,,,15
La,I,const,0,,,,14
La,N,const,0,,,,233
La,O,const,0,,,,976
La,S,const,0,,,,36
La,Se,const,0,,,,9
Mg,Br,const,0,,,,83
Mg,C,const,0,,,,74
Mg,Cl,const,0,,,,50
Mg,H,const,0,,,,24
Mg,I,const,0,,,,13
Mg,N,const,0,,,,251
Mg,O,const,0,,,,309
Mg,P,const,0,,,,6
Mg,S,const,0,,,,14
Mg,Se,const,0,,,,8
Mn,As,const,0,,,,37
Mn,Br,const,0,,,,187
Mn,C,Double,,1.2377,0.2424,-3.6434,81
Mn,C,Single,,1.3207,0.1139,-0.0272,3013
