M,X,d_bond,w_veto,f1,n,n_pos
Ru,C,2.6630,0.150,0.9987,24577,8659
Fe,C,2.6890,0.000,0.9991,19771,8511
Mo,C,2.5170,0.150,0.9975,20134,8065
Co,C,2.4410,0.000,0.9987,20341,7423
W,C,2.5780,0.150,0.9983,17279,6757
Cr,C,2.6000,0.000,0.9984,13187,6462
Mn,C,2.7070,0.000,0.9979,12486,5924
Ti,C,2.7040,0.150,0.9978,13404,5730
Zr,C,2.7580,0.000,0.9965,10362,5470
Re,C,2.8900,0.000,0.9998,16218,5284
Rh,C,2.7220,0.000,0.9991,18694,5174
Ir,C,2.7870,0.000,0.9988,14443,4233
Cu,O,2.4510,0.000,0.9947,4961,3029
B,C,1.8410,0.000,0.9996,10042,2660
Ni,N,2.5340,0.000,0.9996,3485,2495
Ni,C,2.5940,0.000,0.9955,13365,2327
Co,N,2.5570,0.000,0.9996,3126,2326
Cu,N,2.5340,0.000,0.9966,3538,2325
V,C,2.6200,0.150,0.9981,5747,2151
Os,C,2.7420,0.000,0.9983,9041,2034
Co,O,2.4870,0.000,0.9997,4513,1909
Mo,O,2.8120,0.000,0.9997,5497,1797
Al,C,2.4580,0.000,0.9986,8523,1795
Zn,N,2.4950,0.000,0.9994,2133,1765
Ni,O,2.4690,0.000,0.9997,2137,1721
Fe,N,2.6350,0.000,1.0000,2634,1686
Ru,Cl,2.6280,0.000,0.9991,1895,1671
Zn,O,2.4840,0.000,0.9991,1781,1652
Re,O,2.7770,0.000,0.9997,5001,1651
Re,N,2.8280,0.000,0.9994,2678,1626
Pt,C,2.5430,0.150,0.9952,8035,1552
Fe,S,3.0200,0.150,1.0000,1773,1515
Rh,O,2.5980,0.000,0.9993,3575,1472
B,N,2.0130,0.000,0.9997,2523,1434
Ti,Cl,2.6830,0.300,0.9996,1621,1426
Ru,N,2.7520,0.150,0.9989,2341,1329
Sn,C,2.9670,0.000,1.0000,5516,1329
Al,N,2.4870,0.000,1.0000,1503,1319
Mo,S,3.0960,0.000,0.9981,1592,1310
Al,O,2.2600,0.000,1.0000,1319,1298
Cr,N,2.5790,0.000,0.9996,1889,1268
Mo,N,2.7390,0.000,0.9967,2042,1231
Rh,Cl,3.2160,0.000,0.9996,1353,1211
Re,Cl,2.5500,0.000,0.9996,1556,1173
