X,Y,d_int,f1,n,n_pos
H,H,1.0000,1.0000,0,0
C,H,1.3559,1.0000,730978,730462
C,C,1.7777,1.0000,1135696,505653
C,N,1.5507,1.0000,197386,88166
C,O,1.4703,1.0000,107976,59722
C,P,2.1349,1.0000,97279,32902
C,Si,2.0082,1.0000,21264,14338
C,F,1.4292,1.0000,31161,13755
C,S,1.9960,1.0000,35111,12912
H,N,1.1873,1.0000,9406,9286
H,O,1.2388,1.0000,6776,6191
N,N,1.5243,1.0000,18179,5889
N,O,1.4627,1.0000,7033,3259
O,P,1.9596,1.0000,3364,1980
N,P,2.2072,1.0000,4151,1428
C,Cl,1.8115,1.0000,12386,1201
O,S,1.7990,1.0000,2798,1170
N,Si,2.2454,1.0000,1111,924
As,C,2.0757,1.0000,3261,830
Br,C,2.0011,1.0000,5453,666
C,Se,2.0852,1.0000,3342,629
O,Si,2.1670,1.0000,609,496
P,P,2.5788,0.9970,4521,493
P,S,2.3146,1.0000,1881,420
H,P,1.5396,1.0000,33094,418
N,S,1.8603,1.0000,6440,382
S,S,2.4759,1.0000,7919,296
Si,Si,2.5777,1.0000,1269,200
C,I,2.5255,1.0000,5237,173
C,Te,2.2663,1.0000,1293,157
P,Si,2.6024,0.9968,858,157
H,Si,1.8284,1.0000,33227,152
As,As,2.5657,0.9963,373,136
Cl,P,2.0610,1.0000,5625,135
P,Se,2.2701,1.0000,213,114
As,Si,2.4374,1.0000,118,100
Se,Se,2.4028,1.0000,642,97
O,O,1.4451,1.0000,8521,96
F,P,1.7583,1.0000,577,88
Cl,Si,2.2750,1.0000,416,58
As,O,2.1461,1.0000,160,55
As,S,2.3629,1.0000,79,54
H,S,1.3532,1.0000,10291,54
Cl,O,1.4548,1.0000,2900,48
F,S,1.7270,1.0000,307,32
As,H,1.5597,1.0000,785,31
*,*,2.0542,0.9988,,
